Subrepertoire	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
Ctsl-dependent	30903b-045	50554	Rarefaction	1159.11511401599	0.990040262350944
Ctsl-dependent	30903b-045	50833	Rarefaction	1159.37937088334	0.990127260111499
Ctsl-dependent	30903b-045	51113	Rarefaction	1159.64179103565	0.990213389796429
Ctsl-dependent	30903b-045	51392	Rarefaction	1159.90054342366	0.990298057179714
Ctsl-dependent	30903b-045	51671	Rarefaction	1160.1566119375	0.990381592412084
Ctsl-dependent	30903b-045	51951	Rarefaction	1160.41094176113	0.990464308940998
Ctsl-dependent	30903b-045	52230	Rarefaction	1160.6617567766	0.990545635551306
Ctsl-dependent	30903b-045	52509	Rarefaction	1160.9100097904	0.990625888766421
Ctsl-dependent	30903b-045	52788	Rarefaction	1161.1557392425	0.990705087294411
Ctsl-dependent	30903b-045	53068	Rarefaction	1161.39985098613	0.990783527745592
Ctsl-dependent	30903b-045	53347	Rarefaction	1161.64063854971	0.990860667786597
Ctsl-dependent	30903b-045	53626	Rarefaction	1161.87901485994	0.990936806924449
Ctsl-dependent	30903b-045	53906	Rarefaction	1162.11585721055	0.991012229923193
Ctsl-dependent	30903b-045	54185	Rarefaction	1162.34950933229	0.991086414867827
Ctsl-dependent	30903b-045	54464	Rarefaction	1162.58085574921	0.991159649294647
Ctsl-dependent	30903b-045	54744	Rarefaction	1162.81074718712	0.991232206743777
Ctsl-dependent	30903b-045	55023	Rarefaction	1163.03757480676	0.9913035847205
Ctsl-dependent	30903b-045	55302	Rarefaction	1163.26219599436	0.991374059418458
Ctsl-dependent	30903b-045	55581	Rarefaction	1163.48464292987	0.991443645910142
Ctsl-dependent	30903b-045	55861	Rarefaction	1163.70573251575	0.991512603679003
Ctsl-dependent	30903b-045	56140	Rarefaction	1163.92391612627	0.991580454664904
Ctsl-dependent	30903b-045	56419	Rarefaction	1164.14001748502	0.991647460853908
Ctsl-dependent	30903b-045	56699	Rarefaction	1164.35482970615	0.991713871813828
Ctsl-dependent	30903b-045	56978	Rarefaction	1164.5668471185	0.991779226797406
Ctsl-dependent	30903b-045	57257	Rarefaction	1164.7768692126	0.991843777762866
Ctsl-dependent	30903b-045	57537	Rarefaction	1164.98566632221	0.991907764863143
Ctsl-dependent	30903b-045	57816	Rarefaction	1165.19177420761	0.991970743846964
Ctsl-dependent	30903b-045	58095	Rarefaction	1165.39596879939	0.992032957156355
Ctsl-dependent	30903b-045	58374	Rarefaction	1165.59827688606	0.992094417043779
Ctsl-dependent	30903b-045	58654	Rarefaction	1165.79943917429	0.992155351829539
Ctsl-dependent	30903b-045	58933	Rarefaction	1165.99804447945	0.992215338071672
Ctsl-dependent	30903b-045	59212	Rarefaction	1166.19483933184	0.9922746062501
Ctsl-dependent	30903b-045	59492	Rarefaction	1166.39054422801	0.992333376313454
Ctsl-dependent	30903b-045	59771	Rarefaction	1166.583785472	0.992391239594869
Ctsl-dependent	30903b-045	60050	Rarefaction	1166.7752887209	0.99244841811675
Ctsl-dependent	30903b-045	60330	Rarefaction	1166.96575417862	0.992505123858089
Ctsl-dependent	30903b-045	60609	Rarefaction	1167.15384483863	0.992560962259385
Ctsl-dependent	30903b-045	60888	Rarefaction	1167.34026590941	0.992616147289079
Ctsl-dependent	30903b-045	61167	Rarefaction	1167.52503962588	0.992670688995082
Ctsl-dependent	30903b-045	61447	Rarefaction	1167.70884091895	0.992724789326989
Ctsl-dependent	30903b-045	61726	Rarefaction	1167.89037877081	0.992778071548144
Ctsl-dependent	30903b-045	62005	Rarefaction	1168.07033292283	0.992830739487875
Ctsl-dependent	30903b-045	62285	Rarefaction	1168.24936086203	0.992882987976144
Ctsl-dependent	30903b-045	62564	Rarefaction	1168.42620384805	0.992934452965378
Ctsl-dependent	30903b-045	62843	Rarefaction	1168.60152394875	0.992985331088625
Ctsl-dependent	30903b-045	63123	Rarefaction	1168.77596087054	0.993035810392239
Ctsl-dependent	30903b-045	63402	Rarefaction	1168.9482880408	0.993085538956977
Ctsl-dependent	30903b-045	63681	Rarefaction	1169.11915015013	0.993134706558544
Ctsl-dependent	30903b-045	63960	Rarefaction	1169.28856531548	0.993183321502986
Ctsl-dependent	30903b-045	64240	Rarefaction	1169.45715151752	0.993231563266252
Ctsl-dependent	30903b-045	64519	Rarefaction	1169.62372264406	0.993279095290875
Ctsl-dependent	30903b-045	64798	Rarefaction	1169.7889009754	0.993326098694692
Ctsl-dependent	30903b-045	65078	Rarefaction	1169.95328805578	0.993372746863555
Ctsl-dependent	30903b-045	65357	Rarefaction	1170.11572730878	0.993418714191287
Ctsl-dependent	30903b-045	65636	Rarefaction	1170.27682503824	0.993464175639658
Ctsl-dependent	30903b-045	65916	Rarefaction	1170.43716746793	0.993509298778016
Ctsl-dependent	30903b-045	66195	Rarefaction	1170.59562622447	0.993553768487431
Ctsl-dependent	30903b-045	66474	Rarefaction	1170.75279191353	0.993597753848013
Ctsl-dependent	30903b-045	66753	Rarefaction	1170.90868032932	0.993641261776184
Ctsl-dependent	30903b-045	67033	Rarefaction	1171.06385893809	0.993684452478239
Ctsl-dependent	30903b-045	67312	Rarefaction	1171.21723443061	0.993727024139694
Ctsl-dependent	30903b-045	67591	Rarefaction	1171.36937846315	0.993769138403723
Ctsl-dependent	30903b-045	67871	Rarefaction	1171.52084436737	0.993810950235319
Ctsl-dependent	30903b-045	68150	Rarefaction	1171.67056483242	0.993852167320843
Ctsl-dependent	30903b-045	68429	Rarefaction	1171.81909726524	0.993892946005733
Ctsl-dependent	30903b-045	68709	Rarefaction	1171.96698183165	0.993933436236128
Ctsl-dependent	30903b-045	68988	Rarefaction	1172.11317574449	0.99397335481259
Ctsl-dependent	30903b-045	69267	Rarefaction	1172.25822337902	0.9940128530109
Ctsl-dependent	30903b-045	69547	Rarefaction	1172.40265162602	0.994052075968334
Ctsl-dependent	30903b-045	69826	Rarefaction	1172.54544189863	0.994090749234719
Ctsl-dependent	30903b-045	70105	Rarefaction	1172.68712542029	0.994129019226872
Ctsl-dependent	30903b-045	70384	Rarefaction	1172.82771476788	0.99416689144655
Ctsl-dependent	30903b-045	70664	Rarefaction	1172.96772066607	0.994204504940124
Ctsl-dependent	30903b-045	70943	Rarefaction	1173.10615548366	0.994241596370733
Ctsl-dependent	30903b-045	71222	Rarefaction	1173.24353342224	0.994278306000451
Ctsl-dependent	30903b-045	71502	Rarefaction	1173.38035324281	0.994314768521954
Ctsl-dependent	30903b-045	71781	Rarefaction	1173.51564968443	0.994350728556447
Ctsl-dependent	30903b-045	72060	Rarefaction	1173.64992451531	0.994386321968404
Ctsl-dependent	30903b-045	72340	Rarefaction	1173.78366566257	0.994421679277607
Ctsl-dependent	30903b-045	72619	Rarefaction	1173.91592872621	0.994456552750551
Ctsl-dependent	30903b-045	72898	Rarefaction	1174.04720435801	0.994491074034192
Ctsl-dependent	30903b-045	73177	Rarefaction	1174.17750382786	0.994525247776438
Ctsl-dependent	30903b-045	73457	Rarefaction	1174.30729958016	0.994559199195612
Ctsl-dependent	30903b-045	73736	Rarefaction	1174.43567524223	0.994592690291197
Ctsl-dependent	30903b-045	74015	Rarefaction	1174.56310651382	0.9946258473533
Ctsl-dependent	30903b-045	74295	Rarefaction	1174.69005577092	0.994658791806613
Ctsl-dependent	30903b-045	74574	Rarefaction	1174.81562616553	0.994691292629185
Ctsl-dependent	30903b-045	74853	Rarefaction	1174.94028281293	0.994723472279095
Ctsl-dependent	30903b-045	75133	Rarefaction	1175.06447773175	0.994755448538359
Ctsl-dependent	30903b-045	75412	Rarefaction	1175.18733369167	0.994786997096322
Ctsl-dependent	30903b-045	75691	Rarefaction	1175.30930547848	0.994818236731439
Ctsl-dependent	30903b-045	75970	Rarefaction	1175.430402123	0.99484917139401
